took,timed_out,shards_total,shards_successful,shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_id_quartiere,hits_hits__source_id_municipio,hits_hits__source_id_circoscrizione,hits_hits__source_ora,hits_hits__source_id_corsa,hits_hits__source_totale_rilevazioni,hits_hits__source_id_data,hits_hits__source_municipio,hits_hits__source_quartiere,hits_hits__source_flag_amtab_mezzi,hits_hits__source_data,hits_hits__source_anno,hits_hits__source_data_anno
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_13_184141_20170317",1.0,8.0,5.0,151.0,13.0,"184141",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","10_4_227_15_186949_20170317",1.0,10.0,4.0,227.0,15.0,"186949",1.0,2.0170317E7,"MUNICIPIO N.3","X  - MARCONI - SAN GIROLAMO - FESCA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_9_184046_20170317",1.0,12.0,1.0,140.0,9.0,"184046",1.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","17_3_139_9_125861_20170317",1.0,17.0,3.0,139.0,9.0,"125861",1.0,2.0170317E7,"MUNICIPIO N.1","XVII - TORRE A MARE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_11_184154_20170317",1.0,8.0,5.0,151.0,11.0,"184154",3.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","16_2_240_10_192215_20170317",1.0,16.0,2.0,240.0,10.0,"192215",1.0,2.0170317E7,"MUNICIPIO N.4","XVI - LOSETO",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_5_227_16_192176_20170317",1.0,2.0,5.0,227.0,16.0,"192176",1.0,2.0170317E7,"MUNICIPIO N.2","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_15_184553_20170317",1.0,2.0,3.0,93.0,15.0,"184553",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","17_3_139_13_186459_20170317",1.0,17.0,3.0,139.0,13.0,"186459",1.0,2.0170317E7,"MUNICIPIO N.1","XVII - TORRE A MARE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_93_16_184807_20170317",1.0,5.0,3.0,93.0,16.0,"184807",1.0,2.0170317E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","14_2_240_22_192276_20170317",1.0,14.0,2.0,240.0,22.0,"192276",1.0,2.0170317E7,"MUNICIPIO N.4","XIV - CARBONARA DI BARI",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_12_184052_20170317",1.0,12.0,1.0,140.0,12.0,"184052",2.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","7_5_176_6_176882_20170317",1.0,7.0,5.0,176.0,6.0,"176882",1.0,2.0170317E7,"MUNICIPIO N.2","VII - CARRASSI",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_11_159614_20170317",1.0,8.0,5.0,151.0,11.0,"159614",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_9_159613_20170317",1.0,8.0,5.0,151.0,9.0,"159613",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_168_22_162939_20170317",1.0,2.0,3.0,168.0,22.0,"162939",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_139_7_184511_20170317",1.0,5.0,3.0,139.0,7.0,"184511",1.0,2.0170317E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_15_163289_20170317",1.0,2.0,3.0,93.0,15.0,"163289",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
